time, pn-10A04R02T01, pn-10A12R02T01, pn-10A22R02T01, pn-10A35R02T01, pn-10A49R02T01, pn-10A58R02T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
217.88461303710938, 322047.75, 316435.4375, 309499.5625, 306338.34375, 304579.5, 303595.125
217.98666381835938, 322127.75, 316514.5625, 309558.03125, 306357.09375, 304420.3125, 303437.5
218.0884246826172, 322030.8125, 316418.03125, 309460.59375, 306235.96875, 304434.90625, 303486.0
218.1905059814453, 322038.8125, 316426.3125, 309480.5625, 306181.9375, 304458.3125, 303506.375
218.291748046875, 322020.34375, 316407.5625, 309452.96875, 306314.0625, 304300.3125, 303408.5625
218.39370727539062, 322272.75, 316660.1875, 309697.84375, 306439.40625, 304351.1875, 303436.625
218.49624633789062, 322192.71875, 316579.875, 309622.25, 306237.71875, 304345.53125, 303454.5625
218.59779357910156, 322200.625, 316588.0, 309629.40625, 306305.8125, 304375.8125, 303464.90625
218.70046997070312, 322134.125, 316521.375, 309573.625, 306399.0625, 304414.25, 303398.0
218.80392456054688, 322165.09375, 316552.28125, 309602.1875, 306293.3125, 304402.3125, 303435.65625
218.90628051757812, 322029.71875, 316416.625, 309446.75, 306161.5625, 304315.28125, 303405.09375
219.00706481933594, 322172.21875, 316559.65625, 309609.96875, 306417.21875, 304315.3125, 303412.125
219.107666015625, 322208.3125, 316595.4375, 309637.28125, 306364.46875, 304393.90625, 303510.21875
219.2095947265625, 322270.8125, 316658.0625, 309700.28125, 306342.65625, 304389.96875, 303457.71875
219.310546875, 322217.8125, 316605.0625, 309657.03125, 306307.09375, 304558.03125, 303446.46875
219.41099548339844, 322209.5, 316596.28125, 309625.34375, 306262.5, 304552.75, 303455.625
219.51333618164062, 322135.6875, 316523.09375, 309565.3125, 306241.65625, 304344.53125, 303294.625
219.6172637939453, 322126.125, 316512.96875, 309546.0, 306249.3125, 304516.84375, 303508.96875
219.7200164794922, 322112.375, 316499.34375, 309544.28125, 306318.53125, 304362.5625, 303379.65625
219.82077026367188, 322356.59375, 316743.90625, 309782.40625, 306444.9375, 304319.46875, 303375.15625
219.92144775390625, 322440.15625, 316827.84375, 309874.0625, 306465.8125, 304547.75, 303527.4375
220.0225067138672, 322419.25, 316806.34375, 309847.8125, 306389.0, 304740.65625, 303545.5
220.1225128173828, 322286.3125, 316673.3125, 309706.3125, 306315.8125, 304461.40625, 303233.5625
220.22384643554688, 322278.78125, 316665.875, 309706.5625, 306457.75, 304640.4375, 303456.71875
220.3240203857422, 322348.28125, 316735.15625, 309778.375, 306632.3125, 304585.0, 303433.15625
220.4268798828125, 322232.375, 316619.3125, 309652.40625, 306235.65625, 304626.6875, 303532.09375
220.5289764404297, 322274.28125, 316661.375, 309705.25, 306434.875, 304421.0, 303380.65625
220.62989807128906, 322389.71875, 316776.9375, 309819.40625, 306487.84375, 304515.53125, 303480.40625
220.7310028076172, 322411.46875, 316798.90625, 309838.8125, 306603.53125, 304583.875, 303577.5625
220.83169555664062, 322378.28125, 316765.1875, 309796.9375, 306448.78125, 304647.75, 303603.0
220.93386840820312, 322187.84375, 316575.28125, 309632.1875, 306272.25, 304347.5, 303352.75
221.03399658203125, 322296.5625, 316683.9375, 309720.65625, 306670.0625, 304491.8125, 303525.90625
221.13609313964844, 322399.875, 316786.90625, 309819.28125, 306616.625, 304627.4375, 303624.96875
221.2366180419922, 322416.78125, 316803.59375, 309836.4375, 306524.09375, 304675.34375, 303660.1875
221.33673095703125, 322677.1875, 317064.09375, 310111.40625, 306743.28125, 304643.0625, 303560.15625
221.44036865234375, 322476.0, 316860.21875, 309867.125, 306240.0625, 304161.875, 303375.6875
221.54251098632812, 322502.40625, 316889.65625, 309934.65625, 306784.78125, 304636.375, 303682.90625
221.64476013183594, 322465.28125, 316851.75, 309874.40625, 306553.25, 304778.6875, 303679.28125
