time, rftn-201A08R29, rftn-201A44R29, rftn-201A73R29, rftn-201A108R29, rftn-201A163R29, rftn-201A229R29, rftn-201A273R29, rftn-201A309R29
(s), (K), (K), (K), (K), (K), (K), (K), (K)
283.016845703125, 346.8677062988281, 364.632080078125, 391.06597900390625, 414.2198791503906, 413.74810791015625, 412.548583984375, 413.7880554199219, 698.6349487304688
283.11737060546875, 346.8675231933594, 364.63153076171875, 391.0617980957031, 414.2051696777344, 413.7994079589844, 412.0361022949219, 413.79254150390625, 698.4116821289062
283.2177734375, 346.8673400878906, 364.63092041015625, 391.0577087402344, 414.1974792480469, 413.92718505859375, 411.6876525878906, 413.7459411621094, 698.279052734375
283.3178405761719, 346.8671569824219, 364.6302490234375, 391.0535888671875, 414.1938171386719, 413.8786315917969, 411.74188232421875, 413.6803894042969, 698.2024536132812
283.4207458496094, 346.86700439453125, 364.6295166015625, 391.0495300292969, 414.194580078125, 413.6531066894531, 412.06329345703125, 413.6123962402344, 698.1721801757812
283.5235900878906, 346.8668518066406, 364.6287841796875, 391.0458984375, 414.197265625, 413.78192138671875, 412.19989013671875, 413.4091491699219, 698.1439208984375
283.6248779296875, 346.86669921875, 364.6281433105469, 391.0432434082031, 414.2051696777344, 413.9643859863281, 412.2066650390625, 412.7353820800781, 698.1284790039062
283.7269592285156, 346.8665466308594, 364.62762451171875, 391.0423583984375, 414.2323913574219, 414.1139831542969, 411.9987487792969, 412.2897033691406, 697.8839111328125
283.8305969238281, 346.86639404296875, 364.62738037109375, 391.0434875488281, 414.2746887207031, 414.19659423828125, 411.8125, 412.48565673828125, 697.485107421875
283.9307556152344, 346.8662109375, 364.62738037109375, 391.04656982421875, 414.3149108886719, 413.96478271484375, 411.6217346191406, 412.7441101074219, 697.02880859375
284.0309753417969, 346.8659973144531, 364.6275939941406, 391.0509033203125, 414.3468933105469, 413.82879638671875, 411.83013916015625, 412.96337890625, 696.5510864257812
284.1313781738281, 346.8657531738281, 364.62799072265625, 391.05609130859375, 414.361328125, 413.45819091796875, 412.1365966796875, 413.068359375, 696.2390747070312
284.23529052734375, 346.8655090332031, 364.6285095214844, 391.0614013671875, 414.3536376953125, 413.2714538574219, 412.32635498046875, 413.0152587890625, 696.0964965820312
284.336181640625, 346.865234375, 364.6289367675781, 391.0650939941406, 414.3356628417969, 413.3140869140625, 412.3963317871094, 412.3649597167969, 695.9463500976562
284.4383850097656, 346.864990234375, 364.6292724609375, 391.0672607421875, 414.3230285644531, 413.615966796875, 412.2785949707031, 411.9922180175781, 695.517578125
284.53851318359375, 346.8647155761719, 364.6295166015625, 391.0683898925781, 414.3144226074219, 413.72271728515625, 411.9050598144531, 412.1803894042969, 694.9802856445312
284.639404296875, 346.8644714355469, 364.629638671875, 391.0686340332031, 414.3028869628906, 413.52227783203125, 411.7503967285156, 412.43951416015625, 694.4830932617188
284.73974609375, 346.8642272949219, 364.629638671875, 391.06744384765625, 414.2786560058594, 413.3557434082031, 411.6429138183594, 412.6029357910156, 694.2413330078125
284.8398132324219, 346.864013671875, 364.6293640136719, 391.064453125, 414.2501525878906, 412.9511413574219, 411.9429626464844, 412.6942138671875, 694.0465087890625
284.94012451171875, 346.8638000488281, 364.62890625, 391.0601501464844, 414.2230224609375, 412.9836730957031, 412.2049255371094, 412.74322509765625, 693.87646484375
285.0410461425781, 346.8636169433594, 364.62823486328125, 391.0547180175781, 414.2026672363281, 413.3190612792969, 412.2449645996094, 412.7344665527344, 693.8021240234375
285.1429443359375, 346.86346435546875, 364.62744140625, 391.0493469238281, 414.1907958984375, 413.4978942871094, 411.68890380859375, 412.2968444824219, 693.776611328125
285.2435607910156, 346.8633117675781, 364.62664794921875, 391.0445861816406, 414.1950988769531, 413.6605224609375, 411.478271484375, 411.7900695800781, 693.4959106445312
285.3441467285156, 346.8631591796875, 364.6258850097656, 391.04071044921875, 414.2152404785156, 413.8558654785156, 411.6452941894531, 411.8638610839844, 692.9827880859375
285.4450378417969, 346.863037109375, 364.625244140625, 391.0380859375, 414.24005126953125, 413.8982238769531, 412.00396728515625, 411.9908142089844, 692.5125732421875
285.5463562011719, 346.8628845214844, 364.624755859375, 391.0372619628906, 414.2569885253906, 413.8890075683594, 412.12652587890625, 412.15234375, 692.3657836914062
285.6466064453125, 346.8627014160156, 364.6244812011719, 391.0382385253906, 414.269287109375, 413.2921447753906, 412.1468811035156, 412.02392578125, 692.3037109375
285.7471618652344, 346.8625183105469, 364.6244201660156, 391.0408020019531, 414.2866516113281, 413.1214599609375, 412.14404296875, 411.4429931640625, 692.0851440429688
285.8514099121094, 346.8623352050781, 364.6246032714844, 391.044921875, 414.3421325683594, 413.3245544433594, 412.10260009765625, 411.4139404296875, 691.4296264648438
285.9524841308594, 346.86212158203125, 364.6249084472656, 391.04949951171875, 414.3856506347656, 413.10296630859375, 412.179443359375, 411.5710754394531, 690.795166015625
